,Train MSE,Train R²,Train Adjusted R²,Train Accuracy,Test MSE,Test R²,Test Adjusted R²,Test Accuracy
Linear Regression,0.12429304852567388,0.5546080734562189,0.4394205062466203,Not Acceptable,0.15586335404352392,0.35833495749458455,1.7333314771490462,Not Acceptable
Decision Tree,1.2162162162163084e-07,0.9999995641808693,0.9999994514690251,Acceptable,0.102565,0.5777559421299876,1.4825646375657284,Not Acceptable
Random Forest,0.013734979399351331,0.9507820509008384,0.9380532709614001,Acceptable,0.04749733352569362,0.8044609092195754,1.2234732466061995,Acceptable
Gradient Boosting,0.0028183883596229527,0.9899005822438915,0.9872886638586911,Acceptable,0.058686199443900175,0.7583980988235629,1.2761164584873566,Acceptable
